2017-08-18T09:59:03+02:00 DEBUG (7): {"errorCode":0,"errorMessage":"While attempting to create noteuserrevokecontroller(alias: NoteUserRevokeController) an invalid factory was registered for this instance type."}
2017-08-18T11:54:00+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-18T12:02:31+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-18T21:48:57+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-18T21:48:59+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-18T21:49:03+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-18T21:49:06+02:00 DEBUG (7): {"errorCode":404,"errorMessage":null}
2017-08-19T07:33:47+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-19T07:33:52+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-19T07:33:58+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-19T07:34:01+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-19T07:34:04+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-19T07:34:09+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-19T07:34:22+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-19T07:34:26+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-19T07:34:29+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-19T07:34:34+02:00 DEBUG (7): {"errorCode":404,"errorMessage":null}
2017-08-19T08:46:47+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-19T08:46:49+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-19T08:46:51+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-19T08:46:52+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-19T08:46:52+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-19T08:46:56+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-19T08:47:19+02:00 DEBUG (7): {"errorCode":404,"errorMessage":null}
2017-08-19T19:12:01+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-19T19:29:18+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-19T19:40:09+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-20T13:30:47+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-20T13:32:05+02:00 DEBUG (7): {"errorCode":401,"errorMessage":"Unauthorized"}
2017-08-21T12:35:23+02:00 DEBUG (7): {"errorCode":404,"errorMessage":null}
2017-08-23T20:40:57+02:00 DEBUG (7): {"errorCode":404,"errorMessage":null}
2017-08-23T21:11:31+02:00 DEBUG (7): {"errorCode":404,"errorMessage":null}
2017-08-23T21:15:37+02:00 DEBUG (7): {"errorCode":404,"errorMessage":null}
2017-08-23T21:21:32+02:00 DEBUG (7): {"errorCode":404,"errorMessage":null}
2017-08-23T21:22:40+02:00 DEBUG (7): {"errorCode":404,"errorMessage":null}
2017-08-23T21:24:04+02:00 DEBUG (7): {"errorCode":404,"errorMessage":null}
2017-08-23T21:25:56+02:00 DEBUG (7): {"errorCode":404,"errorMessage":null}
